,DARMC_X,DARMC_Y,DARMC_OBJECTID,NAME,NAME2,Latitude,Longitude,Geo_Q,F2008_Wreck,F2010_Wreck,Geo_D,Start_Date,End_Date,Date_Q,Date_D,Depth,Depth_Q,Year_Found,Year_Found_1,Cargo_1,Cargo_Type1,Cargo_2,Cargo_Type2,Cargo_3,Cargo_Type_3,Other_Cargo,Gear,Estimated displacement,Comments,Length,Width,Size_Detail,Parker_ref,Parker?,Bibliography AFM State 2008,Bibliography_2,OXREP_locid,OXREP_Site_Name,OXREP_Wreck_Name,OXREP_Earliest_Date,OXREP_Latest_Date,OXREP_Dating_comment,OXREP_Wreck_ID,OXREP_Strauss_ID,OXREP_Parker_Number,OXREP_Sea_area,OXREP_Country,OXREP_Region,OXREP_Min_depth,OXREP_Max_depth,OXREP_Depth,OXREP_Period,OXREP_Reference,OXREP_Comments,OXREP_Stone_cargo_notes,OXREP_Other_cargo,OXREP_Hull_remains,OXREP_Shipboard_paraphernalia,OXREP_Ship_equipment,OXREP_Estimated_tonnage,,
33,-316258.6733,6959356.392,34,Ellesmere, ,52.872,-2.841,ca,0,0, ,-500,500, , , ,silted,1864, , ,, ,, , , ,Paddle & bowl found with the boat.,0.412,,3.35,0.73, , ,0,,S. McGrail 1978.,,,,,,,,,,,,,,,,,,,,,,,,,,
912,1805231.076,5322124.705,913,Krava, ,43.066667,16.216667, ,416,430, ,-400,-200, , , , , , ,amphoras,"Dr2-4, pear-shaped", ,, , , ,, ,,0,0, ,558,1,, ,1921,Krava,Krava,-400,-200,C4th-3rd BC,7970,,558,Adriatic,Croatia,Vis,,,,Classical/Hellenistic,"N. Cambi in Amphores Romains et Histoire Economique, Dix Ans de Rechereches (Siena, 1986) 1989, 323-5; M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192",The earliest known wreck in the Adriatic,,Grindstones and handmills,,,,,,
738,1421178.833,4602997.051,739,San Vito, ,38.166667,12.766667, ,809,847, ,-400,500,?, , , , , ,amphoras,, ,, , , ,, ,,0,0, ,1025,1,, ,1413,San Vito,San Vito,-400,400,,8405,,1025,,,,,,,,,,,,,,,,,
,,,,Agde 3,,43.267,3.45,,5,8,,-300,500,?,,8,,,,Amphoras,,,,,,,,,"pieces of wood, 500 m from coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,3595619.553,4148037.891,1165,Ayios Georghios, ,34.883333,32.3, ,53,56, ,-300,-200, , , ,shallow, , ,amphoras,, ,, , , ,, ,close to shore,0,0, ,69,1,, ,546,Ayios Georghios,Ayios Georghios,-300,-200,c. 3rd c. BC,121,203,69,Eastern Mediterranean,Cyprus,West coast,3,3,Shallow,Hellenistic,"C. Giangrande et al, RDAC  (1987), 192; Parker (1992), 69.","Rhodian amphorae, 3rd c. BC? (seen by AIW)",,,,,,,,
924,1866456.796,5296763.193,925,Grscica, ,42.9,16.766667, ,361,372, ,-300,200,?, , , , , ,ceramic,pottery, ,, , , ,, ,,0,0, ,487,1,, ,1357,Grscica,Grscica,1,200,,7903,,487,,,,,,,Roman Imperial,,,,,,,,,,
,,,new,Idhra,,37.26666667,23.38333333,,,,,-300,-1,,,,,,,,,,,,,,,,,,,,,,,,,,Idhra,-300,-1,C 3rd-1st BC,197,32,510,Aegean,Greece,Off east Peloponnesus,,,Not known,Hellenistic/Roman,"P. Throckmorton, Shipwrecks and Archaeology (1970), 225; Parker (1992), 510.",,,,,,,,,
602,1170709.978,5319585.456,603,San Vincenzo 2, ,43.05,10.516667,ca,808,846, ,-300,100,?, , ,shallow, , ,amphoras,,stone,millstones, , , ,lead anchor stock, ,,0,0, ,1024,1,, ,1791,San Vincenzo,San Vincenzo B,-300,-100,,8404,,1024,,,,,,,,,,,,,,,,,
897,1747716.006,4858679.074,898,Santo Ianni, ,39.95,15.7, ,821,859, ,-300,500,?, , , , , , ,, ,, , , ,lead stocked anchors, ,,0,0, ,1036,1,, ,1624,Santo Ianni,Santo Ianni,-300,200,,8415,,1036,,,,,,,,,,,,,,,,,
,,,,"Pedagne, Le (Italy)",,40.656,17.993,,623,655,,-299,-1,,,,,,,Amphoras,Dr1 Dr20 ,,,,,,"One roman anchor, 4 3-hole stone anchors.",,"Dating based on identified amphoras. At the mouth of the port of Brindisi, 50 meters from the coast. Wrecks were never systematically excavated or surveyed because the area is now a military training ground for the Italian Marines and ship traffic is intense. It's possible that that remains belong to multiple wrecks.",,,,,,"F. Garello G. Manchia, Carta archeological sottomarina della Puglia. Sciarra 1966, p. 351 (fig. 11). Quilici Gigli, Quilici, 1975,78. Sciarra Bardaro 1982b, pp. 28, 128. Kapitän 1971. http://emeroteca.provincia.brindisi.it/Studi%20Salentini/1994/fascicoli/Carta%20Archeologica%20Sottomarina%20della%20Puglia.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bingen Logboat,,60.511639,7.867799.,,,,,-230,-110,,,,,1993,,,,,,,,,,,,10,,,,,"Wrecks and Shipfinds in Norway - July 2012, https://www.abc.se/~pa/uwa/wreck-no.htm",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,new,Porto Venere,,44.03333333,9.833333333,,,,,-225,-175,,,,,,,tiles,,,,,,,,,,,,,894,,,,,Porto Venere,,-225,-175,,8277,,894,,,,,,,,,,,,,,,,,
,,,,Sardinia,,40.9564,9.8343,ca,,,,-210,-190,,,,,,,,,,,,,,,,1039,,,,,Sardinia,,,-210,-190,,1039,,,,,,,,,,0,0,0,0,0,,,,676,0,0,,
1051,3037352.306,4432975.528,1052,Akyar Burnu, ,36.956,27.285,ca,0,0, ,-200,400,ca, ,35, ,2004, ,amphoras,"at least five types dated differently; mostly Kos, also Dressel 2 and Dressel 4; 3rd-4th century amphoras originating from Syria-Palestine ",,,,,,,,,0,0, , ,0,,O. Köyağsıoğlu 2006. ,,,,,,,,,,,,,,,,,,,,,,,,,,
538,1083509.71,4990241.811,539,Molara, ,40.85,9.733333, ,534,558, ,-200,100,?, , , , , ,amphoras,, ,, , , ,lead anchor stock, ,,0,0, ,706,1,, ,782,Molara,Molara,-200,100,,8102,,706,,,,,,,,,,,,,,,,,
110,205941.058,6463612.124,111,Abbeville, ,50.1,1.85, ,1,4, ,-150,500,ca, , , ,1808, ,,, ,, , , ,, ,"""Celtic"" or ""continental"" boat (cf. Zwammerdam?) found in the Somme river",0,0, ,4,1,, ,1850,Abbeville,Abbeville,-150,500,,7252,,4,Non-Mediterranean,France,,,,,Roman,,in the river Somme,,,,,,,,
848,1666081.712,4914500.264,849,Agropoli, ,40.333333,14.966667, ,8,11, ,-150,500, , , , , , ,marble,, ,, , , ,, ,,0,0, ,18,1,, ,1528,Agropoli,Agropoli,-150,500,Roman,154,413,18,Tyrrhenian Sea,Italy,Near Naples,,,Not known,Roman,"P. Gianfrotta, Mondo Archeologico 57 (1981), 27-31.",Only a brief reference has been made to this site.,A brief reference to marble.,,,,,,,
1158,3330308.1,3660919.518,1159,Alexandria 1, ,31.216667,29.916667,ca,16,19, ,-150,500, , , , , , ,amphoras,Dr6?, ,, , , ,, ,,0,0, ,31,1,, ,2662,Alexandria,Alexandria A,-150,500,Roman,64,220,31,Eastern Mediterranean,Egypt,Near Alexandria,,,Unknown,Roman,"B. Vailiti and P. Curto, Mondo Sommerso 22 (1980), 53.",Probably Dr. 6 amphorae. Large quantities.,,,,,,,,
426,922096.4487,4943750.216,427,Alghero, ,40.533333,8.283333, ,18,22, ,-150,500, , , , ,1978,?,ceramic,bricks, ,, , , ,, ,,0,0, ,34,1,, ,808,Alghero,Alghero,-150,500,,7467,,34,,Italy,Western Sardinia,,,Unknown,Roman,"Zucca, 1980, 39, n. 33",Only a press report has been published about a Roman ship with a cargo of bricks.,,Bricks/ tiles.,,,,,,
63,-77923.6436,4539477.275,64,"Amoladeras, Las", ,37.716667,-0.7,ca,23,27, ,-150,500, , , , , , ,metal,lead objects,amphoras,Dr1A,ceramic,tiles,"millstones, gold phallic pendant",, ,,0,0, ,39,1,, ,2367,Las Amoladeras,Las Amoladeras,-150,500,,7472,,39,,,,,,,Roman,,,,Lead objects,,,,,,
634,1233791.023,5223599.884,635,Argentario, ,42.416667,11.083333, ,34,39, ,-150,500, , , , ,1973, ,dolia,, ,, , , ,, ,2 miles off Cala Grande; 3 dolia,0,0, ,55,1,, ,1213,Argentario,Argentario,-150,500,,7487,,55,,,,,,,Roman,,,,,,,,,,
774,1565894.171,4980435.717,775,Averno 1, ,40.783333,14.066667,ca,48,51, ,-150,500, , ,35, , , ,amphoras,, ,, , , ,, ,,0,0, ,64,1,, ,1979,Averno,Averno A,-150,500,,7495,,64,,,,,,,Roman,,,,,,,,,,
775,1565894.171,4980435.717,776,Averno 2, ,40.783333,14.066667,ca,49,52, ,-150,500, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,65,1,, ,1064,Averno,Averno B,-150,500,,7496,,65,,,,,,,Roman,,,,,,,,,,
